"Owner","Profile Name","City","Control vs Treatment","Date","Swipes","Likes","Matches","Comments","OwnerNum","ProfileNum","CityNum","ExpDay","DOW"
"Brian","Sean Matthews","New York","Control","10/9/2023",10,0,0,1,1,11,20,1,"Monday"
"Brian","Sean Matthews","San Francisco","Treatment","10/9/2023",10,0,0,0,1,11,30,1,"Monday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/9/2023",10,7,2,1,5,16,30,1,"Monday"
"Quazi","Matt Anderson","New York","Control","10/9/2023",10,11,1,0,5,16,20,1,"Monday"
"Brian","Sean Matthews","New York","Control","10/10/2023",10,9,1,0,1,11,20,2,"Tuesday"
"Brian","Sean Matthews","San Francisco","Treatment","10/10/2023",10,22,0,1,1,11,30,2,"Tuesday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/10/2023",10,8,3,1,5,16,30,2,"Tuesday"
"Quazi","Matt Anderson","New York","Control","10/10/2023",10,10,1,0,5,16,20,2,"Tuesday"
"Brian","Sean Matthews","New York","Control","10/11/2023",10,2,0,0,1,11,20,2,"Wednesday"
"Brian","Sean Matthews","San Francisco","Treatment","10/11/2023",10,7,4,1,1,11,30,2,"Wednesday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/11/2023",10,7,2,1,5,16,30,2,"Wednesday"
"Quazi","Matt Anderson","New York","Control","10/11/2023",10,9,1,1,5,16,20,2,"Wednesday"
"Brian","Sean Matthews","New York","Control","10/12/2023",10,5,0,0,1,11,20,3,"Thursday"
"Brian","Sean Matthews","San Francisco","Treatment","10/12/2023",10,8,3,0,1,11,30,3,"Thursday"
"Erin Smith","Liam Williams","New York","Treatment","10/12/2023",10,1,0,0,2,12,20,3,"Thursday"
"Erin Smith","Liam Williams","San Francisco","Control","10/12/2023",10,2,1,0,2,12,30,3,"Thursday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/12/2023",10,11,2,0,5,16,30,3,"Thursday"
"Quazi","Matt Anderson","New York","Control","10/12/2023",10,14,1,0,5,16,20,3,"Thursday"
"Brian","Sean Matthews","New York","Control","10/13/2023",10,1,1,0,1,11,20,3,"Friday"
"Brian","Sean Matthews","San Francisco","Treatment","10/13/2023",10,2,1,0,1,11,30,3,"Friday"
"Erin Smith","Liam Williams","New York","Treatment","10/13/2023",10,3,2,0,2,12,20,3,"Friday"
"Erin Smith","Liam Williams","San Francisco","Control","10/13/2023",10,2,2,1,2,12,30,3,"Friday"
"KT","Finn Richardson","New York","Control","10/13/2023",10,1,0,0,3,14,20,3,"Friday"
"KT","Finn Richardson","San Francisco","Treatment","10/13/2023",10,1,2,0,3,14,30,3,"Friday"
"Luka","Ethan Mitchell","San Francisco","Control","10/13/2023",10,3,1,0,4,15,30,3,"Friday"
"Luka","Ethan Mitchell","New York","Treatment","10/13/2023",10,4,0,0,4,15,20,3,"Friday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/13/2023",10,3,1,0,5,16,30,3,"Friday"
"Quazi","Matt Anderson","New York","Control","10/13/2023",10,10,2,0,5,16,20,3,"Friday"
"Brian","Sean Matthews","New York","Control","10/14/2023",10,1,0,0,1,11,20,4,"Saturday"
"Brian","Sean Matthews","San Francisco","Treatment","10/14/2023",10,2,3,1,1,11,30,4,"Saturday"
"Erin Smith","Liam Williams","New York","Treatment","10/14/2023",10,2,4,0,2,12,20,4,"Saturday"
"Erin Smith","Liam Williams","San Francisco","Control","10/14/2023",10,2,2,0,2,12,30,4,"Saturday"
"KT","Finn Richardson","New York","Control","10/14/2023",10,2,0,0,3,14,20,4,"Saturday"
"KT","Finn Richardson","San Francisco","Treatment","10/14/2023",10,0,1,1,3,14,30,4,"Saturday"
"Luka","Ethan Mitchell","San Francisco","Control","10/14/2023",10,2,1,0,4,15,30,4,"Saturday"
"Luka","Ethan Mitchell","New York","Treatment","10/14/2023",10,5,0,1,4,15,20,4,"Saturday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/14/2023",10,15,3,2,5,16,30,4,"Saturday"
"Quazi","Matt Anderson","New York","Control","10/14/2023",10,6,1,0,5,16,20,4,"Saturday"
"Brian","Sean Matthews","New York","Control","10/15/2023",10,0,1,0,1,11,20,5,"Sunday"
